,Date,actual,ensemble,unilstm,multilstm
0,2018-07-05 00:00:00,15,23.726570196449757,69.11208171397448,33.653985261917114
1,2018-07-05 01:00:00,4,12.829679995775223,61.93183619529009,26.045266818255186
2,2018-07-05 02:00:00,6,18.25339548289776,57.522421814501286,25.17097979784012
3,2018-07-05 03:00:00,14,31.137333065271378,58.71929794549942,26.771124564111233
4,2018-07-05 04:00:00,19,24.791728761047125,69.78243842720985,42.582848677411675
5,2018-07-05 05:00:00,24,58.58686836436391,95.49543686211109,71.3890016451478
6,2018-07-05 06:00:00,160,107.68641900271177,144.3848141655326,107.8646806627512
7,2018-07-05 07:00:00,171,158.72530687600374,240.58239042758942,231.48228488862514
8,2018-07-05 08:00:00,383,333.0770669877529,431.4741186797619,498.12389865517616
9,2018-07-05 09:00:00,846,626.0285745561123,725.2831396460533,819.7076031565666
10,2018-07-05 10:00:00,1106,761.8989410996437,986.0118734836578,1092.4615848064423
11,2018-07-05 11:00:00,1105,843.5616239905357,1095.6665179133415,1140.2416121959686
12,2018-07-05 12:00:00,980,895.7729834318161,1111.8548849225044,1097.5841283798218
13,2018-07-05 13:00:00,956,777.4164044857025,1075.7769125699997,1003.4809589385986
14,2018-07-05 14:00:00,988,724.3369236588478,1025.1203456521034,904.5260179042816
15,2018-07-05 15:00:00,1057,747.6763126254082,1027.1815147995949,918.0567744374275
16,2018-07-05 16:00:00,920,722.8759932518005,1102.7307772636414,962.3056215047836
17,2018-07-05 17:00:00,940,822.5351065397263,1135.2534639835358,955.7660654187202
18,2018-07-05 18:00:00,764,758.786301612854,980.86390376091,834.0646269917488
19,2018-07-05 19:00:00,665,670.7457002997398,680.2369599044323,633.4420719742775
20,2018-07-05 20:00:00,384,398.05895760655403,392.8810213506222,345.3358143568039
21,2018-07-05 21:00:00,192,205.60500711202621,203.7160836160183,178.49586129188538
22,2018-07-05 22:00:00,137,65.22868627682328,108.30226015299559,89.83652949333191
23,2018-07-05 23:00:00,47,41.932162661105394,69.43185372278094,48.90148155391216
